dataset_name,watermark_text,image_shape,psnr,ssim,ncc,imperceptibility_score,capacity_percent,ber_blur,ber_noise,ber_brightness,robustness_score,entropy,security_score,overall_score,extraction_success
Solid_Red_200x200,Secret1,"(200, 200, 3)",89.4688,1.0,0.0,0.5,0.0733,0.0,0.0,28.5714,90.4762,2.5216,31.52,39.90086,True
Solid_Blue_400x300,Message2,"(300, 400, 3)",91.369,1.0,0.0,0.5,0.0267,0.0,0.0,0.0,100.0,2.5,31.25,42.65,True
Gradient_300x300,Data3,"(300, 300, 3)",93.4193,1.0,1.0,1.0,0.0267,0.0,0.0,80.0,73.33333333333333,1.9219,24.02375,31.909499999999998,True
Checkerboard_500x500,Hidden,"(500, 500, 3)",89.7115,1.0,1.0,1.0,0.0107,0.0,0.0,0.0,100.0,2.2516,28.144999999999996,41.55799999999999,True
Random_Noise_256x256,Secure,"(256, 256, 3)",87.0114,1.0,1.0,1.0,0.0407,100.0,0.0,100.0,33.33333333333333,2.2516,28.144999999999996,21.557999999999996,True
Radial_Gradient_600x400,Water1,"(600, 400, 3)",97.4025,1.0,1.0,1.0,0.0111,100.0,0.0,100.0,33.33333333333333,2.585,32.3125,23.225,True
Horizontal_Lines_350x350,Test01,"(350, 350, 3)",92.171,1.0,1.0,1.0,0.0218,0.0,0.0,100.0,66.66666666666666,2.585,32.3125,33.225,True
Vertical_Lines_480x360,Mark08,"(480, 360, 3)",93.9293,1.0,1.0,1.0,0.0154,100.0,0.0,100.0,33.33333333333333,2.585,32.3125,23.225,True
Diagonal_Pattern_640x480,Sign99,"(640, 480, 3)",96.0408,1.0,1.0,1.0,0.0087,0.0,0.0,100.0,66.66666666666666,2.2516,28.144999999999996,31.557999999999993,True
Complex_Pattern_512x512,Info10,"(512, 512, 3)",95.5268,1.0,1.0,1.0,0.0102,0.0,16.6667,0.0,94.44443333333334,2.585,32.3125,41.558330000000005,True
Smooth_Gradient_320x240,Guard,"(320, 240, 3)",92.5792,1.0,1.0,1.0,0.0312,100.0,0.0,100.0,33.33333333333333,2.3219,29.02375,21.909499999999998,True
High_Res_768x576,Protect,"(768, 576, 3)",96.1376,1.0,1.0,1.0,0.0066,100.0,0.0,100.0,33.33333333333333,2.5216,31.52,22.908,True
